"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,1,1,0,1,0,0,0,0
"2",1,0,0,1,0,1,0,0,0,0
"3",0,0,0,0,0,1,0,1,0,1
"4",0,1,0,0,0,1,1,0,0,0
"5",0,1,0,1,1,0,0,0,0,0
"6",0,0,0,1,1,0,0,0,0,1
"7",1,0,1,0,0,0,0,1,0,0
"8",0,0,1,0,0,1,0,0,1,0
"9",1,0,1,0,0,0,1,0,0,0
"10",0,0,0,1,0,0,0,1,1,0
"11",0,0,0,1,0,0,0,0,1,1
"12",0,1,0,1,1,0,0,0,0,0
"13",0,1,1,0,0,0,0,1,0,0
"14",1,0,0,0,0,1,0,1,0,0
"15",1,0,0,0,0,0,1,0,1,0
"16",0,0,0,1,0,1,1,0,0,0
"17",0,1,0,0,0,0,1,0,0,1
"18",0,0,0,0,1,0,0,0,1,1
"19",0,0,0,1,0,1,1,0,0,0
"20",0,0,0,0,1,1,0,0,1,0
"21",0,1,0,0,0,1,0,1,0,0
"22",1,0,0,1,0,0,1,0,0,0
"23",0,0,1,1,0,0,0,1,0,0
"24",1,0,1,0,0,0,0,0,1,0
"25",0,1,0,0,0,0,0,1,1,0
"26",0,0,0,1,0,1,0,1,0,0
"27",0,0,1,1,0,0,0,0,1,0
"28",0,1,0,0,0,0,0,1,0,1
"29",0,0,0,0,1,0,0,0,1,1
"30",1,0,0,0,0,1,0,0,1,0
"31",0,0,0,1,0,0,0,0,1,1
"32",0,0,1,0,0,1,0,0,0,1
"33",0,0,0,1,0,0,1,0,1,0
"34",0,1,0,0,0,0,0,1,0,1
"35",0,0,0,0,1,0,0,0,1,1
"36",0,1,0,0,0,1,0,0,1,0
"37",1,0,0,0,0,0,1,0,1,0
"38",1,0,0,0,1,0,1,0,0,0
"39",0,0,0,1,1,0,0,0,1,0
"40",0,1,1,0,0,0,0,0,1,0
"41",0,1,1,0,0,0,0,0,0,1
"42",1,0,0,0,1,0,0,0,1,0
"43",0,0,1,0,0,0,0,1,0,1
"44",0,0,1,0,0,0,0,0,1,1
"45",0,0,0,1,1,0,0,1,0,0
"46",0,0,0,0,1,1,1,0,0,0
"47",1,0,0,0,1,0,0,1,0,0
"48",0,0,0,0,1,0,0,0,1,1
"49",0,0,0,1,0,0,1,0,0,1
"50",0,0,0,0,1,0,1,0,1,0
"51",1,1,0,0,0,0,0,0,1,0
"52",0,0,1,0,0,1,0,0,1,0
"53",0,0,0,0,1,0,1,0,1,0
"54",0,1,1,0,1,0,0,0,0,0
"55",1,0,0,0,1,0,0,0,1,0
"56",0,0,0,1,0,0,1,1,0,0
"57",0,0,1,0,0,0,1,0,0,1
"58",0,0,1,0,1,0,0,0,0,1
"59",0,0,0,0,0,1,1,0,0,1
"60",0,0,1,1,0,0,0,0,1,0
"61",1,0,0,0,0,1,0,1,0,0
"62",1,1,0,0,0,0,0,1,0,0
"63",0,0,0,1,1,0,0,0,1,0
"64",1,0,0,0,0,1,0,0,1,0
"65",1,1,0,1,0,0,0,0,0,0
"66",1,0,0,0,1,0,1,0,0,0
"67",0,0,1,1,0,0,1,0,0,0
"68",0,1,0,1,0,0,1,0,0,0
"69",1,1,0,0,0,0,0,1,0,0
"70",0,0,0,1,0,1,0,0,0,1
"71",1,1,1,0,0,0,0,0,0,0
"72",0,0,1,0,1,0,0,0,0,1
"73",0,0,0,1,1,0,0,0,0,1
"74",0,1,0,0,0,0,1,0,0,1
"75",0,1,1,0,0,0,0,1,0,0
"76",1,0,1,0,1,0,0,0,0,0
"77",0,0,1,0,1,0,1,0,0,0
"78",1,0,0,1,0,0,1,0,0,0
"79",1,0,1,0,1,0,0,0,0,0
"80",0,0,1,0,0,0,0,1,0,1
"81",0,0,1,0,0,0,1,1,0,0
"82",1,0,0,0,1,0,0,0,0,1
"83",1,0,0,0,0,1,0,0,0,1
"84",1,1,1,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,1,1,0,1
"86",0,0,1,0,0,0,1,0,0,1
"87",1,0,0,0,0,0,1,0,0,1
"88",0,0,0,0,1,1,1,0,0,0
"89",0,0,0,0,0,1,1,0,0,1
"90",0,0,0,0,1,0,1,1,0,0
"91",0,1,0,0,1,1,0,0,0,0
"92",1,1,0,0,0,0,0,1,0,0
"93",0,1,0,1,0,0,0,1,0,0
"94",1,0,0,1,0,1,0,0,0,0
"95",0,1,0,1,0,0,0,1,0,0
"96",0,1,0,0,0,1,0,1,0,0
"97",0,1,0,0,0,1,0,1,0,0
"98",0,1,0,0,0,1,0,1,0,0
"99",0,1,0,0,0,1,0,1,0,0
"100",0,0,1,0,0,1,0,0,1,0
